mp-754904 NdMnPO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173934 CeNiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766574 VOF2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25948 Mg2CoWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756622 Na2Mn3(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31128 Li2TiVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18473 Li2FeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-651279 LuVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208680 Fe2B(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202181 Li2VP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761066 V2ZnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19412 MnP2H2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19156 Na5Fe3F14 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1286807 Na4Cr2H6O11 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756141 Rb2U2Mo3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766106 Sm2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753442 RbNaMo3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210501 Li2CoSnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20312 Li2MnO2F Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756959 LiCr(CO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222675 MgV2O6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-557449 Ca4Mn3CrO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770349 U7V5Ag3O35 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-30947 LiMnNiO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1248625 VIO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
