mp-753521 BaVSi2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-581138 Na5Li3V8O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753346 SmV2BiO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758776 Zn3Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208141 Li6NiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223593 LiVP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1037021 Th(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1286054 Rb2CoAgF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1180190 MnPO4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mvc-11007 TiMnH12(OF)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753962 Zn2FeWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214987 Li2MnPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201319 Nd2FeNiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-782634 LiFePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176417 Mo3NO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1099683 Na4(NiO2)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760981 Sm2FeSbO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214582 Ca2V2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-3246 Li3Co(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18527 LiVFeP2(O4F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18835 MoH12N3O5F3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770571 Li4Fe(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756840 Li3Ni(SbO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1104282 LiVF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1219784 Er2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-647352 VGa(CuO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752892 LiV(TeO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774411 NaVF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771903 Co(SeO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776417 HoMoClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774891 Li3VPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1219340 Li2VCrP2(O4F)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-553887 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760973 LiCrPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1649414 Li9Mn7O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752847 MoP4C5S3O5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-20287 Ba3V2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778583 MnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1249696 SrFe2S2O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200426 V3CrO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774246 Mn2Mo2NO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100536 FeSb2C6(OF2)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25203 Li2CrSi3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-648992 CaNiO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211821 Pr2Mo4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1103766 LiNiBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764013 NaCoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100541 Sm2(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752853 FeHO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758186 KUVO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-24069 AlV2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761209 SrTiFe3(BiO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1106068 Li2Cr4O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26008 Nd2(MoO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-695805 Fe3C10SO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765199 SmSbMo2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761158 Ca2NiWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1003402 FeSeO3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20223 TaMnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755536 Li2CoSnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1178549 NaNiAsO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-4964 Cs6Fe2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213147 KDy(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1192494 Li24Ti5Cr7O36 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753777 Li3Mn7O12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-763002 Rb2Cr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779358 Ca4Al6MoO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764791 Li4V2SiGeO10 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-754753 CsFe(SO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194448 MnF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1182406 KCo(CO)4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-555930 Mn2V3(AgO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195412 Mn13Si2SbO24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752782 ZnCr(GeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-863371 ZnCoAs2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559331 NaFePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226197 Li3Co3(PO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-504864 FeCo3(PO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754607 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1320757 Li5Nb2V3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-32310 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222326 LiMnO2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-561571 MgTiCo(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100675 Li2Fe3SbO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194912 MoPbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203604 Nd2Mo4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1226964 UAg2(WO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1111033 Li7Mn2(CoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216355 Mg30TiNiO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-704210 Na3Li3Fe2F12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1311895 Li7Mn4CoO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778931 Li2VFeP2(HO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752772 Li2MnOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213193 Co3(TeO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558075 Sr2YAlV2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-645942 CrHC7NO5F2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199642 Li5Mn2CoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1207118 Li4TiCu2Ni3(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228131 VZn2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505168 MnZnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178826 Li6Ti15Co3O32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214642 LiCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1638849 CaMg30CoO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-777796 CaMo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26715 Li4MnCo2O7 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-759162 Li5V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770659 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1641568 Li2CoSiO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1567273 Na3VBPO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-625576 Li5Ni2O2F5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554446 Ba2MoO3F4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-643561 Li9Mn7O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849459 Fe10O9F11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756520 LiNiPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1215743 MoPb3Cl2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764057 LiV(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196196 MoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1275812 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776285 NaV5H18N2O19 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-743569 Na3CrBAsO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208625 NiHgO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-510015 Nd4Ni3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1282857 LiFeF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
