mp-1199268 K5In(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-997159 CaSi2NiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17269 BaV2H2Se2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764688 La7Mo7O30 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19100 Li7Mn2(CoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757558 La7SmMn7FeO24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10462 V4FeO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-641367 Li5Mn6(BO3)6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19386 Li4Mn3Fe5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208998 Y6MoO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213667 LiCrPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-695952 Co(HO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758349 LiMnVP2(HO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1285223 YMn3O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1206497 Ba2V3BiO11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752589 Li19Mn8C16(SO16)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-5120 VPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31901 LiVSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-697818 TiBi8W(BrO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764498 Cs2ZrMn(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558917 Ca2Ta2FeO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-698580 NaU4V3O20 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192111 AgMo4H22C8(NO5)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176656 TbNiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1225903 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178257 MgFeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778791 LiV(PO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-3629 V2ZnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218146 K6Na2MnH24(WO6)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772110 Li4Mn3Sn2Sb3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1225126 CrOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1244648 FePtO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-14924 Li5Mn7O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213122 Ta12MoO33 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26021 Li4V(PO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-763259 LiNiPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20564 Sr2MgMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779086 Fe2P2H4NO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753703 RbFe(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849411 BaMnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753866 Rb2CoF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-9661 V2Se3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754183 Ba3Sm2WO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756408 Li4FeCo3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756033 Tb2(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-675 VAg2HgO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-758378 NaVCSO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1570791 SrV2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-653267 LaCr4(CuO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1229040 Ca2Fe2O5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-559424 Ho2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26980 Nd2Mo(SeO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213346 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757903 CaCrP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1111670 VPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556790 Ca3MnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1193007 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754748 VF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776555 LiFeOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755249 Sr18Ni13O42 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558369 CaCeV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1640786 Li6Ca12Mo4N16O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227081 KAl(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744580 Li2CrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756665 CaTiMn(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1079069 NbV3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755390 CsVWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758355 V4Cd9O19 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780579 Li2MnCSO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
