mp-753049 Co2(PO3)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758560 CsNd(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176488 Zn(NiO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867552 TmWClO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-863869 Li2VNiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758277 Na2MnCoNiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760210 LiMn7O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-29188 PrZn(MoO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542882 Cs2Mo2O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756248 Na5MnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212278 Lu2Mn3Sb3O14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218772 Ca3(CoO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178209 SmTl(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1302039 NaMnVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1217638 Li3MnV(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754552 K3NaMoC4(N2O)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1308212 V11NiO18 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173961 Cd(FeO2)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1191127 LiVP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-21867 CoN6(ClO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210635 VBiO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1103214 Mg2Ta2MnO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1111601 ZnCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26255 TlIn(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753212 LiY3WO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18996 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194023 KLiY2(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753135 Na2DyMoPO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1290650 Li2FePCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-542420 Cu2WO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19153 Mn3H6(SO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180459 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1304779 Li3Fe2(SiO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1199210 SrLiLa3MnO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779227 Ba2CrMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212988 Li4Co2C4SO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-720855 NaLi2FePCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849993 Na5Mn2P2(CO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198067 LiV2P4(HO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770893 LiFeF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200957 Sr5Ca3Ti5Mn3O20 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-781683 Ba3V2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1182695 Cr3H8(NO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-683600 LiCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759350 ThTe2WO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-622278 CrBiO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555068 Na2V2CuH4(OF)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-626276 Li2FeGeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753977 RbNa2CoF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1273059 Li2VCr(P2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1570380 K5Na3(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1178214 Li2VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540864 K6U5V2O23 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-627380 MnCu(AgO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768657 ErCu(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768391 Ba2CaCu2MoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558066 LiFeP(H6O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1104220 Li5Mn2CoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208589 LiMn5O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1199237 Sr2NiRuO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1266445 Ca2TiMnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1111145 Li6VO5F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1579542 KDy(MoO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-18843 Na2FeSO4F3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540729 Ba3Cr2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1202049 Ti2MnZnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758163 Ba4La6Mn5In5O30 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777352 MnF2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176464 ScTl(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770559 NiB4O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27913 LiV(OF)2 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-753011 Li3Mn2CuO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221398 SrCrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211463 SrCa3Mn4O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-644334 Mn(PtO2)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1182481 Cs2CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-12763 La4MnSe6O Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-504845 Sr2CaMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1276679 Dy3BWO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755896 Li7Mn5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1099664 Rb3CrF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753433 Mn6O7F5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19031 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-697817 BaFeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17475 VMoO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19499 K2RbLaV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210136 Ta2FeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541512 Ho2Cu(WO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1205825 Mo(HO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756266 Li4Mn3Fe3(TeO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228461 Bi14MoO24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772715 ScCr2Ag(H2O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780181 Ba3V4PbO14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1302410 La7V2BO17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1203190 Ga2CoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-578604 Co(Bi5O8)5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-690522 Tl2Mo2P2O11 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-560756 VO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756322 Na3Co6Ag(P2O7)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213695 HgMoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-562378 Li2FeO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18727 NaVF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758000 Li3VF8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776433 Pr2W2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1303566 TbMoO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218692 Li4TiCrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776243 LiFePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1266725 KLiMnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209599 Nd2Te3MoO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765297 KCrIO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
