mp-653922 CrNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556070 Re2NiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556209 SrCaMn2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-5466 BaV2TeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775211 VOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557676 Li2NiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777622 Y2Mo4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19175 CsMnH4(OF2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755564 Ba3MnNb2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540440 CaCo(GeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760194 Li2Cr3NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173612 KDy(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759758 LiCoBO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1177448 Ba3Cr2WO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554533 CaPr2Mn3O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763241 Fe(CoO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556265 Li2MnV(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19116 MgMn(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198676 Li8Mn5Fe3(BO3)8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-774494 Bi2Mo2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1273130 Mg3FeO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-743841 Li2VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1661337 Ti2MnNiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770727 LiVSiO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757246 CoO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753810 V3Zn2O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1174271 Si4MoH36C12(NO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19359 Li5Ti6FeO16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-21867 V3Pb5O12F Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1297951 MnGeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23061 ZnMoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209114 RbFeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-11637 Er2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770772 VOF3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1100514 ZnCr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175214 RbMoPO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764777 Mo2P2NO11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758898 NiSb3(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19310 KVH4O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-851087 CaV(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755562 BaMoI4O15 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-771823 Li2VFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770659 VSbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174143 Co(HO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756442 CrCoH15N5ClO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176386 BaV2(NiO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210227 NdBMoO6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-767681 Li8Cr(FeO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-997599 Li3VAs2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178273 V4(OF3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744841 CrPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1283831 RbCrO3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100935 MoH12N3O3F5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-33009 SmMoO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756502 Na3CrBAsO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-9027 Cs3V(Cl3O2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177679 Sr2La6Mn7CuO24 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-556461 TiNbFeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1262752 NiH12S2(NO5)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-758839 Ca2FeWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771167 BaGdFe4O7 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-756421 Mg3Mn2(GeO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556295 Mn2HgO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221959 Li9Co7O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758482 NaNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1288892 Li4Mn2(PO4)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-647352 U(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757355 Ta2VO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744458 Cr2Ag2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554807 Co3NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10040 NiPtF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560733 KLiNiO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-553968 HoMoO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754135 LiMnAlO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758775 LiMoAsO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223569 ZnFe4CuO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-643086 VH7N2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-16797 Li5Mn(CoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759951 ScTl(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754264 Li4MnCo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18804 Ba6Pr2Fe4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1021950 Ca3FeRhO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555913 Sr2YCoCu2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221409 Mg30NiSnO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-705014 Ni3Sb4(OF)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758472 Ba5V3ClO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
