mp-1040471 Mn(PO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214954 Rb2MnV2(ClO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228050 Li2FeBO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-293 Ag3Mo3AsO13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755827 RbVH6SO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744756 Li2Fe(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753494 CoP4O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221289 VZn2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1220548 Na5Tb(WO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555687 LiNbCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-12164 Na2Mn2O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1182001 Na2VCSO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-643547 Li2CrCo3O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-767632 PrV2IO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196047 MgNi(GeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559600 TiFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1247725 SrNdCoRuO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210393 Na2Cr(HO)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1303634 Li2Co(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-542658 LiFeSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1244721 LiVSiCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-23134 Be2CoH20N2(O3F4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-16799 CaMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758802 CsCrFeF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764397 BaSr3Ca2(MoO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754743 Na3FeAsCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752792 Li5Cr3(PO4)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1111049 Ba2V3InO11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222777 K2TeMo2(PO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211854 Li8Zr7Fe(PO4)12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1111141 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1197384 Ca5V3O12F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173971 Ga2CoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-572715 MnCuO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558666 V6H2Pb4Se3O26 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-15567 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768501 SrV2ZnO7 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-772830 FeSbO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770840 FeP2(PbO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
