mp-1203622 K2RbLaV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1003312 TiMnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759813 Li3V4O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-13435 La2GaFeO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-556265 Ca2YMnO5 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-25463 Al4V13Si2(SbO14)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192129 Na3CrBPO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-28207 LiCrBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850899 K8Hf(MoO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1181165 Y(CoO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209982 TiNbFeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1112461 Li2Fe(Si2O5)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1190551 SrCa3Mn4O10 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1209831 LiV3Zn2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556136 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757728 BaV2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174168 LiVOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196754 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228358 K2SrNi(NO2)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556308 Sr2MnNbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559910 Li2Fe3F8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768598 Li3MnP2(O3F2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174564 Li9Mn7O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174474 Li4Mn3V2Cr3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778891 Na2Mn2O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1570791 NaCoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756301 Li2TiV2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779445 Ca2FeSbO6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1277413 NaLiV2O6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-766120 RbMoPO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757326 Np(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180691 Ce3W(ClO2)3 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-756841 Ba2NdMoO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-765999 Mn4Zn3H10(CO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1197295 Li6Fe3Ni(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763317 Sm2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764992 CsRb2CoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755906 VPbO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1665555 Li3Nb4NiO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756333 V2SiO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765052 Na2FeO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1199155 MoP4O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554226 Ca6Mn3Al2O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755332 MnO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752491 Mn(PO3)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1218686 Ni2PO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1036861 VInO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779913 Ni(ClO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-6625 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209472 CoO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765621 Li4MnFe3(PO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1192358 CsMoP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1191650 SrLaVO4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-770376 TlV3Cd4O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-781048 VSbO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771015 MnFeBiO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1317296 V6O11F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204325 Co(ReO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867668 Zn2FeWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752702 Ti2Co(PO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221027 MgCrH10O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-651122 Cs2NaMnF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1182595 Li3MnF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1299167 BaLa(FeO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1218702 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222107 MoCl4O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174684 Li2Fe(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19365 Cr2H2Pb4ClO10F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1193851 V2GePb5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556349 KFe2(MoO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754133 Li3Fe4(BO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22949 NdMoO4F Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1216403 Fe2C2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1567492 Fe3(PO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780496 Li2MnP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19179 Na3Mn2BO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758775 La7V2BO17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770530 ScVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770559 Cs3TlNi3F10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753634 PrCoO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177598 Li4Mn3NbO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754753 Li2FePCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196798 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760320 Zn2CrWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758214 Cr4(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763927 KMn2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212132 ZnNiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867553 Mo2P2PbO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192676 Sb(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505147 SrLa2Mn2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555335 Li2FeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-704417 LaCoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753791 FeWClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1201819 Nd2V2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505392 Fe2O3F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1197988 SbMoOF9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
