mp-745180 CoH18Br2N6ClO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1177877 LiCrCoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-7384 Mg2Ta2CoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774676 Li6Fe(SiO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777403 LiFe2O2F3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753482 MgGaMo4O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31729 LiVF6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1147577 AgMo4H22C8(NO5)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220977 Li3NbV3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-694917 CaMn(Si2O5)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-773598 Sc2(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867667 VPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174084 Li4Mn3Ni(PO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-553997 LiFeOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101412 K3CoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774239 Ca9LaTi8Mn2O30 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756333 Rb3NaV4H2O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100547 Li2MnPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757019 Sr2ZrVO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755305 Ba2MnMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760315 Li2V3CrO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100643 GdCrO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1219587 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755872 Na3VPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1095213 LiVFeP2(HO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209180 LiVPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758598 RbV3(SeO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228348 KNbW2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-9616 Rb2U2WO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773418 BaNd2NiO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26802 LiFe(Se2O5)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-23123 VAg2PO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19232 YNi3Se2ClO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1104788 Li4MnCo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772241 TaZn2CoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-631350 Ca2Mn3Si3H3O14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20032 LiVCrP2(O4F)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758230 Ta2FeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555084 K2FeF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755818 MnH12N8O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214034 Li2V3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560522 Tb2Mo4O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-562985 Li2V(OF)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758015 CaV5O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18853 NaCaVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226647 LiMnPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201772 Li2V(Si2O5)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779898 Li2Cr(PO4)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-549671 BaDyFe4O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759935 Na3MoNO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173880 Ti2Co(PO5)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-624691 FeH7(CO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176570 NbVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
