mp-562767 KVH6SeO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-616566 LiCr4O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18527 Rb2Mo3SO13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757297 Rb2Mo3O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758560 Li2MnO2F Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1227842 Li4V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757366 SrCaNbCrO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-770522 LiVO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-752578 Ba3NdV3O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10001 V4Bi23O44 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554354 V2S2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214700 CaCrO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-572430 LiMnBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761173 VAgSeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768729 BeVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758482 Na2LiFePCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773176 Rb2Mg2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-7390 VZn2SbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213184 InMoHSeO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744929 SrNdCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766829 VZnSiO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-11633 Cs2ZrMn(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228981 MgAlFeO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1228485 Li3Mn(BO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780154 Mn2OF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775240 Ba3TiMoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-3776 Ca4Al6MoO16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774379 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756442 Fe3H4(OF4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224359 K4MoC4(N2O)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753929 Mg10FeO11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1205381 V6O11F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760347 FeSbO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-562561 K2RbTbV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774398 LiVO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26179 Na2ErPWO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223817 CoH15Br2(N3O)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221916 BaMnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1181360 VCd2PO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772529 Y2W2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198023 Tb2Mo4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-625407 Na2Ni(PO5)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27681 BaMn2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-690543 MoH4O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-15497 Fe4O7F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1219975 VH10SNO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228108 La3Ni4(P2O)2 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-780807 NpMoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773188 YbV2O2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753902 NaSrVF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194921 RbNiW(OF)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1320073 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-549237 Ti4Fe(BiO3)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1096960 LiNiO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-35236 Cr(Bi7O12)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759391 Mn2PClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772627 VB(PbO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
