mp-1193901 V16O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1297665 BaCo2(AsO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173115 K2Mo2Se2O11 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-755882 MgMn2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-782662 CoH12CN4ClO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26639 Li4Si2NiO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756977 Li9Mn7O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173896 KMoPO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1303493 Co2O3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173964 La3CoW(SO2)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766441 Mn2SnC9ClO9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-6239 Sr2CrWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18733 Li4Co3NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178416 K2Mn2O3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19238 MnTeMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1220715 Li2Fe2(CO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-12808 TlV3(SeO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-531102 Hg2Mo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1096881 SrMoAsH3O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1215128 Li4VO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222340 ZnCr6Si2Pb10(O16F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777453 K2NiP4(HO2)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222091 Pr3W(ClO2)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-2214 VOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-664 VPO5 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-772396 Zn(FeO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773693 La3FeW(SO2)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-15096 LiMnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554548 Ba3Mn2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214677 Tl2V8O21 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-781593 K3Mn3H2C12O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228461 VF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-532590 Li2Co2SnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194494 K2Mn2Zn4Si4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759770 TaMnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18994 Co(HO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1274308 MnFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208266 FePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758560 CsCrClO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-772988 SrMnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175759 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180459 Na2FeAsCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777063 NaVPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101240 Sr2FeOsO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19156 VN3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19219 Na2NiO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756659 Li4Ti5Ni3O16 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-26369 BaSr4(FeO2)5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-555287 Li2Cr2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1220548 Ti3Fe5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-751967 CsVSO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780882 Li2FeO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1180483 Cs2MoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19091 Li4MnCo3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-29893 VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-762012 K2CoH4(SeO5)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-551629 CsLiMoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173622 Li2VCrP2(O4F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765600 La2Fe2Se2O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753203 BaYMn2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198818 Na2MnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1193081 CoSe2O5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-850427 Ti(FeO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-546989 Ba2V2ZnO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1147531 Li2MnP2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1176519 MoH2Cl2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753760 LiMnAlO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-735485 CsNiF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
