mp-1218736 YCu3(WO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779050 K5HfIn(MoO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760848 Li2VPO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504510 Ba3Dy2MoO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-12280 K2V3P4O17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557259 V2PH10NO11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765646 LiFePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10329 CrNiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555325 BaDyCo4O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-625700 Li2FeO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771344 Ba2V4Cd3O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-27309 Ni2C5(Cl2O)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216994 KNiH9(CO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773418 Li4Mn2VNi3(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-504357 Ca7MgTiMn7O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221953 Li2Mn4O7F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228549 V2Bi8O17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213379 Ca2MnP2(H2O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758266 Li2Mn(CO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770571 MnN2F5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101657 Al2CrO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1288155 Li2VSi2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1205274 Li2NiBO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228250 Li2V(Si2O5)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198818 ScFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557923 V(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850906 SmMoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209767 CsEr(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755571 LiCr2(PO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1207819 Na2Ni2O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1111105 CoH14N5O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1282537 Li2VCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765054 Ba2YV3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758967 Li2CrFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1278467 FeCuO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210161 Li2(FeO2)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223165 V2SiPb5O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-653922 Li8MnFe7(BO3)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1180870 MgV(PO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764774 TiV2CrO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205485 Li4VCr3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1106068 SrLaVFeO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-558721 FeH4S2NO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1249045 SmMoO4F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540914 Co3C10ClO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-694897 VPbO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849522 K3VMo3H4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-631621 Al2FeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756248 V3(NO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-685434 YCu(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770570 BaCo2(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755925 V2Se2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19352 TiMn3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558066 LiCo2NiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756667 Al2FeO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19357 Fe5(OF4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-769967 LiGa(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768850 KVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209249 Fe2O3F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775224 Al2NiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1104384 LiMnPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1154524 Li3Mn2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-34139 Na4V2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1227058 NaMnPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775490 Co6Te3(ClO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755514 Li3Cr4FeO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-24555 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-706271 MnAgO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-545469 V6AgO15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176452 Na5LiMn2P2(CO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1640196 Li2TiNiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753713 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761029 Li7Mn2(CoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1238333 CaMnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757620 Li3NiOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752984 Li2MnFe(BO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-4606 Li4Fe(OF)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774945 Li3Cr4(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764994 Li9(CoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773516 MoH12N3O5F3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174756 Mn2FeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1282857 NiB4O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-773008 Li4Mn3O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1187773 Na2CrAuF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752427 Li6FeO4F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-36447 CoSn2(OF)6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-777151 Sr2MnCu2(SO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1303196 RbFeO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755055 SrCa3TiMn3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771145 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540545 KMoAsO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1037846 MgFe2O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1662148 Li5Co4(SiO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766032 LiMnPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1180190 KMnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-6670 CaLaFeNiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556966 Fe6Sn2(CO)23 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-705334 Li2CrP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556533 Co2NiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-769618 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753584 LiMn(PO3)3 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-755211 NaNiH4SO6F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558835 KV2PO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1079351 LiMnO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-755972 Sr2YGaW2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556946 Li2Mn2OF4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-759507 Ba2Li3Y3(MoO4)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19188 Li2Cr2(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17950 Na4Th(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760792 VAg2O3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177271 Rb2Mo3SeO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764189 VF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1188841 MgMn4O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756352 CsEr(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-600152 VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758757 VCuO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755844 Dy2Hf2(MoO4)7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744843 Rb2AgMoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757198 SmBiW2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753494 Li3CrPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200387 CsSm(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18611 LiVO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768042 Mn3Cr2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213230 SrV2(H4O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-7970 NiSO9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-774679 Ni(SbO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756419 Li7Mn2(CoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-745150 LiMn2(SO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1301543 LiCrO2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1296944 Na4Mo(NO)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1202601 Li2AlCoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754053 LiVNiO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
