mp-775211 Li3MnSiCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222638 CsV(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558835 ZnSi2NiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-12639 SrNdNiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223417 CaCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760920 BaV2SeO8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-562961 V2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200253 Li2Ni5O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1276679 KFe3(PO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776661 Na4V2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-14029 Li3Nb2CrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505289 K3Mn3H2C12O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753609 MnF2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1645095 VH8N2O5F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-38802 Ca4YFe5O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557222 RbSbMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19166 LiNiPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18881 Li2Mn2V3O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19084 Mn12O7F17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1291748 Li3Mn2(SiO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227034 Mg(Mo3O8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1078906 CaPr(MoO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-7714 BeCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-23967 Fe15(Ge2O9)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-7845 YFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-652366 Sr3La7Mn8(FeO15)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561035 LiVSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759851 V2Zn4O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218391 Na3Li3Mn2P2(CO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756411 Mg2Mn9O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211443 BaFe2P2O7F2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17426 Li2Mn3F8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752823 CaCr(GeO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758915 VO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772550 LiCoCO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221998 Sr2CoWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765601 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542666 Ni(AsO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-553969 MnCd6O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214659 Cr(CO)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-863397 ScMn2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222594 HoCo(BO2)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19407 LaCrAgO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761711 Li3CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754264 BeCrO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1037298 FeSb2WC8Se2(O2F3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-30901 RbV2Fe(AgO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558897 CoBi6(SO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174623 KLiTm2(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760934 ScMn(BiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770948 NaVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209180 Li2MnO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
