mp-18160 Li2Mn(Si2O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19300 Mn2SnC10(ClO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-996996 Li2Cr(SO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759724 ZrMnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779877 Na3CrO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-32465 VZnBiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224359 NaMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19287 Cs2MnV2(BrO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-752639 KLa(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760391 Li4Ti3Ni3(TeO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1203525 Li6NiOF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19464 Li6(CoO2)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754391 TaNb3V4O20 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757835 MgFe2CoO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768752 Ta2Mn2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228550 LiVPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1247644 LiVO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17510 K2RbGdV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176417 SrV3O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-573231 Mn2Hg(CO)10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766373 MnSn(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540871 Li3Mn4(BO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760112 SrTlVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-694960 CoH2Cl2O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1294618 Li2FeO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1225259 Cu3(NiO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-866198 DyCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-695069 Co3(OF2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559172 KVS2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757107 Li3Mn(BO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768072 Li2Fe(CO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776440 LaCu(WO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1013911 V3(OF3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1311179 LiMnNbO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1665223 Li4V3P8O29 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-556092 Cs2CoSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1180525 Li2Fe2Si2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-583506 FeC3SO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557669 LiVSi4(HO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760340 VOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192505 Tl2MoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-28262 BaLi2NiO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
