mp-1178577 Li6CrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210143 Li6V2O5F2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753142 MnNi(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1205958 BaHo2NiO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-757721 UCr4H48C14(N15O11)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1287556 La2CoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210796 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227861 Na2FeSO4F3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228461 Li5Co2Cu2(PO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-7995 KMn(SeO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-27913 LiNiPO4 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-550763 MgV5H20NO22 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192859 BaV8O21 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561343 Mo2H26C8N2O5F6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20921 Mn2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1225274 Cr(PO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-625246 CaLa2MnO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1013577 BaMg2V2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761404 NaV2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752601 Mo4H8N2O13 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1202861 Ni(AsO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1037136 LiYb(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775224 Ba3MgV4O14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760797 LiMn7O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756304 RbDy(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867576 VSbO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557843 PrCrO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770604 V3CoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778814 NiPdO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27006 CsVTeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759639 Li3MnV(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752960 Fe10O19F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22417 Li4CrFe3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850784 Li3NbV3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765149 Na2NiPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753086 CsTm(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768097 Li3Cr(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194804 TmMoBrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209180 Ba2YCo2F11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560760 Fe17O18 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1095337 Li3VPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759138 LiFe(Se2O5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-562903 La2NiRhO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752747 Rb3FeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-865024 RbPr(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776012 Li3VF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1002574 V17Pb3O32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1180153 KNaV6(PbO3)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-720855 RbFeBP2HO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754793 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-756420 VBi(PbO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1319687 PrMoO4F Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-557324 Y(WF5)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772563 Ta2CrNO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752612 Zn(FeO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753962 Fe5(SiO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1179703 SrLaCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558345 Fe2H54N18Cl4O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760112 VPH5NO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26582 Rb2Mo(OF2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-24129 CoAgO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1176503 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1197162 Hg2Mo5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208009 KSc(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1105560 Li4CrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222009 Sr2HoMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1225856 CoH15N6(ClO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-32244 Fe5(O4F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208038 Mo2P2PbO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176222 Li5Mn8(BO3)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1275133 Rb2LiCoF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1312784 Ba3V4PbO14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558215 SrFeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753565 VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760180 Sr4MoN4O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176915 LiVFe(P2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765981 V2(PO4)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-770491 TlVSeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-33857 CoH20S2N6ClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540828 Zn2CrWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776753 CoH14C2(NO)12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1306952 Li8MnO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1278576 SrCaTiMnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213150 Sr3Fe2TeO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771899 Li3V2CrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-9159 VOF3 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-556415 Ba2MgMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-545850 CaLaFeWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211767 Li2NiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
