mp-1218391 Ba2La6Mg4Ti3WO24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211273 LiMn2OF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1111102 Ba3CrF12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1307364 Co6O5F7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867603 V2CdO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177796 NaNd(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-998527 Nd2MnGaO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200047 LiMnNbO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-698650 Li7Co(OF)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176523 Na2TmPWO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753084 Co2P2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754906 CrPdO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755926 LaCrHO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-763244 Li4Cr3(FeO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754742 Ca2V2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-14150 Li2VF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1038112 HoMoO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-24555 LiVSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223569 RbFeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177967 LiSm(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1013807 Li7Mn2(CoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-720855 Cr(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
