mp-777279 U(MoO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-745139 Ba2Ca3Tl2(NiO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-627151 H48PtW6C8(NO)24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1220031 K2NaMo(OF)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176278 Cu2NiTeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-34139 Ga2CoO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-760264 KLiMoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1314878 Ba2V3InO11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778031 Li2Mo(PO3)8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1223644 MnHO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-625547 MnGaH4O2F5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757263 VO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174079 HoMoClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850365 Fe7O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19196 CoTe2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-763291 Li4CrGa3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557595 K2ZnCr2(H2O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557086 CoSb2Br2O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764595 Ni2P2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1179306 Co2As2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752506 Tl4V5CdClO15 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-651814 Cr2TeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554911 LiCoSbO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778744 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176659 CrBiO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26430 FePH5NO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201500 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176127 Na2HoPWO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753311 K2Na6V5(MoO8)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770944 Li4Co2C4SO16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752787 KLiNiO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-16868 K2Mo2H4C4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214126 RbLiNd2(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208038 SrV4(Bi3O10)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774155 KNd(MoO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-757614 ScVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771648 TeMoCl7O Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1221264 FeOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18895 CsIn(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754594 Mn12O5F19 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-743600 NbCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764273 Li7FeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-27503 Li3Co2NiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775264 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778667 Ti3CrCo2(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-975505 CoH19S3N5O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1021504 CsTiMnOF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210636 Li5Fe2Cu3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1307172 TlCr4BiO14 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-555680 Li2Fe4O3F8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555698 AlVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773132 LaV2IO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213906 RbNaMo3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755564 Li2FeSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177968 BaMg2V2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757371 V2Fe3P6WO24 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-744631 Mg4FeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-647969 Li2Ti3MnO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176519 FeBiO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1069083 Ti3NiBi2(PbO6)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-18994 CsNa3U4(MoO10)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772971 Ca2MnAs2(H2O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210143 Na3MnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-16811 Li2FeOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1296431 Na3VH6O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774815 CrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775137 CrAgO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758358 Li4Mn3CoO8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1106019 MgFeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540111 SrV3O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208141 LiMnCo3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561026 VPbClO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758776 CoH15N6(ClO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194636 Th(WO4)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-752748 CaV2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764642 Al2Fe2Bi2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-16558 KMnIO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768567 Li5NiOF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
