mp-765498 Na3NiBSO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771660 VCd2PO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1203990 FeAgO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222732 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756826 Li4Ni5SnO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-7372 RbVPO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228461 Li6MnV3(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-891956 SrLa3MnCuO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754670 LiCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200792 Li5V3Cr2O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850286 BaYCuNiO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-600169 CoHCO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555287 Li2FeGeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1038048 Ca3Ni2(WO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218741 Li2MnVP2(O4F)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223417 Fe2C9(O4F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-674420 LiSm(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-35899 Li2V(Si2O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1307940 Li4Co3NiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780583 LaVO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-29047 Ba2NdMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557669 Li2AlCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558810 ZnNi2P2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559125 Mg30CoCO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194711 KNa7V7CrO24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1104384 Mg30FeSnO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208018 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-6408 Rb2Cr2Cd(H2O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-1332 BaYMn2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780086 CsTm(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780518 Zn(CoO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218705 Rb8Zr(MoO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1317991 Ni(BO2)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1111688 Li2AlCoO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1316353 LiVFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211339 K2Mn2Zn4Si4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19019 LiMnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212655 K2CoH2(SeO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754330 Mo2H2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556640 NaMg30CoO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755561 KEr(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772121 FeSb3Pb4O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1197982 Li4Mn2Fe3Te3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-532540 BaVClO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1080246 LiVZnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1190493 CaCu2(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-656887 CaFe3Si2O9 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1224890 Li9FeCo12(PO4)12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1197764 Ca2TaCrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173715 Li4V3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755028 V4OF12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-866198 LiMn2(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561093 KEr(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-653922 NaV2Bi3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221047 MgMnB2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203413 Li3Co2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-698262 Na2LuMoPO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-479 CrInO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759601 MoP4O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19450 Mg3FeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561554 K2MoAs2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18915 La4Cu6(MoO4)9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201692 SrMo2(AsO6)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1210951 TaFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100935 CsVOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-640765 AlCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778762 CsRbMo3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752653 NdCu(MoO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1282494 BaVPO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770887 LiCrP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212098 Fe5P3O17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201346 Mn8O13F3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753281 VOF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1253395 FeO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1290806 K2LiIn(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
