mp-1176091 Li5TiMn3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212188 Nd5Te7WCl3O23 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1183139 FeHO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555748 VP2NCl10O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25457 K2Mo3SO17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778675 VBO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22949 CaMnAs2(H3O5)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-572159 LiCrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754295 Sr2CoSe2(ClO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559433 Li3AlNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774332 NdMnFeBiO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-540169 Li2VCrP2(O4F)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-27510 Li2Cr4O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772241 TbCu(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755022 CaMoO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1297760 Cs3CoF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-8165 V2Pb2Se2O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850874 Li3VCrP2(HO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753787 PrZnCr2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777279 Li4Mn(OF)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-603606 LiMnPO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1237181 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-763217 LiNiPO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-770848 CaV2(BiO5)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1198550 CoP2H17N4O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19352 Fe2P5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223290 LiMn2(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227669 K2Mo(SO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764837 Sm2Mo4O15 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-757805 CrO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755246 Mn3OF5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1279252 CoH9C6(S2O)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1180190 KCrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18960 Li3CrSiCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1319595 Li3Ni(SbO3)4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-772638 LiVSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758241 MnAgO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1286841 Li5V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1216798 VCl3O Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100620 LaVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850910 Tm2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1279062 Li2Mn5(Si2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1178327 Na3VS3O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770625 Co4Pb(CO)16 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1228356 CrH12N3(OF2)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-743581 K2RbTmV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765607 LiFe2P3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759567 CaCrO2 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-850880 Cr(Bi7O12)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222159 Na5La(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1101465 Cs2CrH2Cl5O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-674480 LiY(MoO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-780468 KRb2Mo(OF)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559825 Li2CoSnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-23501 ZnNi4O5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-7390 Mn(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-29893 LiMn2P4H11O18 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-584942 Ti2Co(PO5)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1208707 Ag2Mo3SeO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213629 Er2(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1247641 KBa2V2ClO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505469 K2CoH4(SeO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221578 CsMnO4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1195067 Sr2La14Mg4(Fe4O15)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-12278 AlFeB2(PbO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1275810 Cu12Mo3S5O36 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174668 Sr2FeBrO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1105091 BaNd3(CoO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1316653 Zn(FeO2)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-556491 CoP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756993 Li4Ti3Mn3(CoO8)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1227869 Li2VO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222340 LiMnF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19447 Sr3CaNdMn5O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755398 Sr2Ni(SeO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756894 Na2Ni2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554913 SrMnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-641191 FeOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18853 SmV2IO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176421 DyCrC6(N3O2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-694918 LaCrSe2O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176292 LiNiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
