mp-753489 Li3V2OF7 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-765219 K2Cu2(MoO4)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-753899 Al3FeSiBO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214121 BaMo2(P2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1577050 LiV(OF)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1568793 V2ZnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213040 FeSb3Pb4O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174737 LiV(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558013 CoTeO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1295198 CoAg(CO)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1181458 Li4CoOF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221127 LiV3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-746778 Cr2Hg2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1225991 LiVPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-698100 Li3Cr2(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-706228 Co(BO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194804 Ca3Fe2Cl2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-510562 K2NaFeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559672 Li7VGeO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1190747 FeO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753547 NiRuO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1199278 CsEr(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1662148 Na2ErPWO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202316 Ca2MgV10(H8O11)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-743617 MgMo2P2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-743771 Mn3(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-504997 LiMnPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765753 SmV2BiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-550468 CsMnFeF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849434 Ba10Ru3W(Cl2O9)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753365 LiMnP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555152 Na2FeAgF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705357 Li5Mn2CoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-762897 AlV(TeO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-31517 CrPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764457 MoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772227 NaV13O18 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211821 HoCrTeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18160 Na2U(WO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-697924 MnCO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1181578 CrClO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18827 Li4Mn3CoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555417 MnTe2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1307996 LiLa4CoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211316 FeH4S2NO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-584012 KLiMnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1226167 V2P2H6PbO14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195152 NaNiCSO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-705070 VH12C6NO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1193774 Mn4Zn(CuO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-554911 BeCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-604694 FeOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1663238 Li6NiOF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176807 Li2CrO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-8336 SrLaTiMnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753836 Na3NiO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558810 VHO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193772 KRb2CoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173962 ZnSi2NiO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1285900 Mn5(SiO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1195516 Ba2V4Cd3O15 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-770820 BaNd2CoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559975 Lu4V4O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771143 BaV6O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1201917 Sr2FeClO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773512 CrF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753644 LiMn2O2F3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18789 Ca2CrSbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228826 VAgTeO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756430 LiCoBO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211391 Li2Fe(PO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209262 Pr3BWO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755905 BaZn(NiO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1178001 CoH18C4N7O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
