mp-1196872 Li4Co(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558997 K4Mg(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757064 Mn4O7F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1103970 Ba2Mn(BO2)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760943 Ca2MnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770950 Li3FePCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752445 TlV3Cd4O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1282869 Ta2Mn2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772060 RbHo(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867641 CrHgO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-584637 LiVP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-781683 MoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17192 VOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175812 Li5Cr(SiO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1313679 Co2O3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780842 Li3MnV(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-689929 Rb2Cr3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-12656 ZrMoWO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767960 CoO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759126 TbWClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1648935 VO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1188566 LiVF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755094 RbCoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-613227 Li2Fe3CoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222712 Li3Mn(CoO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757708 BaCo2(AsO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174276 Ba2TaFeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558441 Mn(AsO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-675580 K3MnCrO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1111529 Na2AgMoF6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-773041 Li2FeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-5120 Na2DyPWO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
